A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_TERM_IDENT!FUNC_CDS_FSP_INSTANCE_ID!FUNC_CDS_FSP_IS_FPGA!FUNC_CDS_FSP_UID!
J!C:/Users/phdgc/Downloads/uob-hep-pc072/hardware/Cadence/top/mtca_interface_board_reocc/top_mib_v3/physical/mib_rev3b_v226.brd!Tue Feb 25 10:41:57 2025!-1898.47!-1906.48!1911.53!1903.52!0.01!millimeters!TOP_MIB_V3!68.897638 mil!10!UP TO DATE!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_1p@mtca_interface_board_reocc.\02_ power\(sch_1):page4_i145@cnpassive.rsmd0603(chips)!RSMD0603_1/10W-5.6K,1%!R60!./archive_libs/cnpassive/rsmd0603/chips/chips.prt!RSMD0603!RSMD0603_1/10W-5.6K,1%!RSMD0603_1/10W!1!!F47!!POWER!!!!!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_1p@mtca_interface_board_reocc.\02_ power\(sch_1):page4_i195@cnpassive.rsmd0603(chips)!RSMD0603_1/10W-75K,1%!R6!./archive_libs/cnpassive/rsmd0603/chips/chips.prt!RSMD0603!RSMD0603_1/10W-75K,1%!RSMD0603_1/10W!1!!F46!!POWER!!!!!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i252@bris_cds_discrete.wurth_smsw(chips)!155060RS73200!DS1!./archive_libs/cds_discrete/wurth_smsw/chips/chips.prt!WURTH_SMSW!155060RS73200!WURTH_SMSW_SMD!!!F462!!!!!!!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i251@bris_cds_discrete.wurth_smsw(chips)!155124BS73200!DS2!./archive_libs/cds_discrete/wurth_smsw/chips/chips.prt!WURTH_SMSW!155124BS73200!WURTH_SMSW_SMD!!!F461!!!!!!!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i249@cnpassive.rsmd0603(chips)!RSMD0603_1/10W-20,1%!R4!./archive_libs/cnpassive/rsmd0603/chips/chips.prt!RSMD0603!RSMD0603_1/10W-20,1%!RSMD0603_1/10W!1!!F48!!!!!!!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i250@cnpassive.rsmd0603(chips)!RSMD0603_1/16W-270,1%!R7!./archive_libs/cnpassive/rsmd0603/chips/chips.prt!RSMD0603!RSMD0603_1/16W-270,1%!RSMD0603_1/16W!1!!F43!!!!!!!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_1p@mtca_interface_board_reocc.\02_ power\(sch_1):page1_i162@cnlinear.ltc2991(chips)!LTC2991CMS#PBF-VCC=MP3V3!IC6!./archive_libs/cnlinear/ltc2991/chips/chips.prt!LTC2991!LTC2991CMS#PBF!LTC2991_MSOP!!!F231!!POWER!!!!!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_2p@mtca_interface_board_reocc.\08_ timing\(sch_1):page1_i802(1)@cninterface.\854s01i\(chips)!854S01AKILF-VDD=VCC3V3!IC8!./archive_libs/cninterface/854s01i/chips/chips.prt!854S01I!854S01AKILF!854S01I_QFN!2!2!F458!!!!!!!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_2p@mtca_interface_board_reocc.\08_ timing\(sch_1):page1_i802(0)@cninterface.\854s01i\(chips)!854S01AKILF-VDD=VCC3V3!IC8!./archive_libs/cninterface/854s01i/chips/chips.prt!854S01I!854S01AKILF!854S01I_QFN!2!2!F457!!!!!!!
S!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i240@oxflib.ss16fp(chips)!SS16FP!D12!./archive_libs/oxflib/ss16fp/chips/chips.prt!!!!!!F32!!!!!!!
